AB1201000186|CYLINDER DECORATIVE RING SILVER|17.17
AB1201000187|CYLINDER DECORATIVE RING GREY|13.69
AB1201000191|BLADE DISC|20.52
AB1201000190|BLADE FENDER|26.77
AB1201000189|OUTER SHELL ASSEMBLY|247.24
AB1201000193|STOP BUTTON ASSEMBLY|5.98
AB1201000199|UNIVERSAL WHEEL ASSEMBLY|53.12
AB1201000200|DRIVE BOARD ASSEMBLY|175.80
AB1201000194|CHARGING CONTACT KIT|9.81
AB1201000205|BUMPER MODULE|253.85
AB1201000207|BUTTON FILM|13.06
AB1201000209|BUMPER BOARD ASSEMBLY|87.25
AB1201000206|BUMPER JOINT STRIP|17.80
AB1201000215|BATTERY COVER H800N-VF|16.79
AB1201000216|POWER SUPPLY NA STANDARD|109.27
AB1201000219|VF TOP DECORATION COVER|8.87
AB1201000220|CYLINDER ANTI-WEAR BLOCK|4.89
AB1201000224|CGS BOTTOM COVER|9.06
AB1201000226|CGS GNSS TRANSMISSION CABLE|14.53
AB1201000227|CGS PATROL CABLE|8.87
AB1201000228|CGS POWER INPUT CABLE|12.04
AB1201000229|CGS POWER OUTPUT CABLE|7.39
AB1201000230|CGS HOUSING ASSEMBLY|253.36
AB1201000233|BATTERY PACK H500-H800|177.34
AB1201000234|BATTERY PACK H1500|244.14
AB1201000236|CGS CONTROL BOARD NA-ANZ|155.97
AB1201000235|BATTERY PACK H3000|276.33
AB1201000239|GNSS STATION|296.68
AB1201000238|TOP SHELL ASSEMBLY H800N|835.11
AB1201000241|TOP SHELL ASSEMBLY H1500N-H3000N|837.37
AB1201000243|MAIN CONTROL BOARD NA-ANZ|277.69
AB1201000248|TOP SHELL BODY H500-H800|200.31
AB1201000249|TOP SHELL BODY H1500-H3000|202.55
AB1201000244|GNSS ANTENNA BOARD|257.80
AB1201000252|SUPPORT FOOT GARAGE S-M|21.11
AB1201000250|SPEAKER MODULE|12.93
AB1201000254|SHAFT BRACKET GARAGE S-M-L|72.31
AB1201000253|FRONT COVER GARAGE M|160.71
AB1201000255|CONNECTING PIN GARAGE S-M-L|4.73
AB1201000256|LOWER COVER GARAGE M-L|170.64
AB1201000262|IOT MODULE NA|171.36
AB1201000257|REAR WINDOW GARAGE M-L|27.06
AB1201000264|CHARGING STATION ASSEMBLY NA|310.63
AB1201000269|BATTERY COVER H1500N-VF|15.67
AB1201000274|WATERPROOF CAP-ANTENNA EXTENSION CABLE|2.93
AB1201000270|BATTERY COVER H3000N-VF|15.67
AB1201000275|WATERPROOF CAP-ADAPTOR EXTENSION CABLE|2.76
AB1201000276|WATERPROOF BREATHABLE FILM|4.99
AB1201000277|VISIONFENCE MODULE|313.06
AB1201000296|VF CONNECTOR PLUG|4.55
